id,category,subcategory,difficulty,question,answer,explanation,source,source_checked_date,status,app_ready,review_notes
P1-001,part1,潜水器材・作業,basic,水中にある物体は、光の屈折により、実際の位置よりも「遠く」、かつ「小さく」見える。,×,不正解！試験の超頻出問題です。屈折率の違い（水約1.33）により、実際よりも「近く（約3/4の距離）」、かつ「大きく（約1.33倍）」見えます。,既存公開問題,2026-05-19,approved,yes,existing_public_fixed
P1-002,part1,潜水器材・作業,basic,水中での音速は、空気中の約4.4倍（約1500m/秒）であり、音源の方向を特定しにくくなる。,○,正解！音が速すぎて両耳に届く時間差を感じ取れないため、どこから音がしているか分かりにくくなります。,既存公開問題,2026-05-19,approved,yes,existing_public_fixed
P1-003,part1,潜水器材・作業,basic,水中では、可視光線のうち波長の長い「赤色」が最も早く吸収され、深度が増すと黒っぽく見える。,○,正解！赤→橙→黄の順に吸収され、青色が最後まで残るため、海中は青く見えます。,既存公開問題,2026-05-19,approved,yes,existing_public_fixed
P1-004,part1,潜水器材・作業,basic,水深10mにおける「絶対圧力」は、約1気圧（0.1MPa）である。,×,不正解！水深10mの水圧（ゲージ圧）は1気圧ですが、これに大気圧の1気圧を加えた「2気圧」が絶対圧力となります。,既存公開問題,2026-05-19,approved,yes,existing_public_fixed
P1-005,part1,潜水器材・作業,basic,アルキメデスの原理によれば、水中にある物体には、その物体が押しのけた水の重量に等しい大きさの浮力が働く。,○,正解！この浮力が物体に働く重力より大きければ浮き、小さければ沈みます。,既存公開問題,2026-05-19,approved,yes,existing_public_fixed
P1-006,part1,潜水器材・作業,basic,海水は淡水（真水）よりも密度が高いため、同じ物体であれば海水の方が浮力は大きくなる。,○,正解！海水の比重は約1.025〜1.03なので、真水よりよく浮きます。潜水時はウエイトを重くする必要があります。,既存公開問題,2026-05-19,approved,yes,existing_public_fixed
P1-007,part1,潜水器材・作業,basic,潮流は、潮汐（潮の満ち引き）によって生じる海水の水平方向の流れであり、湾口や海峡などで速くなる。,○,正解！地形が狭まる場所では流速が増すため、潜水作業時は特に注意が必要です。,既存公開問題,2026-05-19,approved,yes,existing_public_fixed
P1-008,part1,潜水器材・作業,basic,波浪（波）において、水粒子は進行方向に移動し続けている。,×,不正解！水粒子はその場で円運動をしているだけで、水自体が遠くへ移動しているわけではありません（波形エネルギーが伝わっています）。,既存公開問題,2026-05-19,approved,yes,existing_public_fixed
P1-009,part1,潜水器材・作業,basic,大潮（おおしお）は、新月および満月の頃に起こり、潮差（満潮と干潮の差）が最も大きくなる。,○,正解！逆に、上弦・下弦の月の頃は潮差が小さい「小潮」となります。,既存公開問題,2026-05-19,approved,yes,existing_public_fixed
P1-010,part1,潜水器材・作業,basic,水温が低い環境では、体熱の損失を防ぐため末梢血管が拡張し、血行が良くなる。,×,不正解！寒冷環境では、体熱の放散を防ぐために血管が「収縮」し、手足の血行が悪くなります。,既存公開問題,2026-05-19,approved,yes,existing_public_fixed
