id,category,subcategory,difficulty,question,answer,explanation,source,source_checked_date,status,app_ready,review_notes
P2-001,part2,送気・減圧管理,basic,水深10メートルにおける絶対圧力は、2気圧（約0.2MPa）である。,○,正解！水圧（ゲージ圧）の1気圧に、大気圧の1気圧を足すのを忘れないようにしましょう。,既存公開問題,2026-05-19,approved,yes,existing_public_fixed
P2-002,part2,送気・減圧管理,basic,ボイルの法則により、温度が一定であれば、気体の体積は絶対圧力に「比例」する。,×,不正解！気体の体積は圧力に「反比例」します。圧力が2倍になれば、体積は1/2になります。,既存公開問題,2026-05-19,approved,yes,existing_public_fixed
P2-003,part2,送気・減圧管理,basic,シャルルの法則により、圧力が一定であれば、気体の体積は温度が1℃上昇するごとに、0℃のときの体積の約273分の1ずつ増加する。,○,正解！温度が上がると気体の体積は膨張します（例：温められた風船が膨らむ現象）。なお、体積一定で圧力が上がるのは「ゲイ・リュサックの法則」です。,既存公開問題,2026-05-19,approved,yes,existing_public_fixed
P2-004,part2,送気・減圧管理,basic,ヘンリーの法則により、一定温度で液体に溶け込む気体の量は、その気体の分圧に比例する。,○,正解！深く潜る（圧力が高い）ほど、窒素が体内に多く溶け込む理由はこの法則で説明されます。,既存公開問題,2026-05-19,approved,yes,existing_public_fixed
P2-005,part2,送気・減圧管理,basic,ドルトンの法則（分圧の法則）によれば、空気（酸素約21%）を使用する場合、4気圧（水深30m）の場所での酸素分圧は「0.84気圧」となる。,○,正解！全圧力 × 成分比 ＝ 分圧（4気圧 × 0.21 ＝ 0.84気圧）です。,既存公開問題,2026-05-19,approved,yes,existing_public_fixed
P2-006,part2,送気・減圧管理,basic,水深30メートル（4気圧）での空気消費量は、水面（1気圧）での空気消費量の4倍になる。,○,正解！深く潜るほど空気の減りが早くなるのは、呼吸する空気の密度が高くなるからです。,既存公開問題,2026-05-19,approved,yes,existing_public_fixed
P2-007,part2,送気・減圧管理,basic,内容積10リットルのタンクに、19.6MPa（約200気圧）の空気が充填されているとき、利用可能な空気量は約2000リットルである（※残圧等は考慮しない）。,○,正解！「容積 × 圧力 ＝ 空気量」の概算式です（10L × 200気圧 ＝ 2000L）。実務ではここから予備分を引いて計画します。,既存公開問題,2026-05-19,approved,yes,existing_public_fixed
P2-008,part2,送気・減圧管理,basic,水深20メートル（3気圧）で、毎分20リットル（大気圧換算）の空気を消費するダイバーが40分間潜水する場合、必要な空気量は「2400リットル」である。,○,正解！計算式：20(L/分) × 3(気圧) × 40(分) ＝ 2400L。,既存公開問題,2026-05-19,approved,yes,existing_public_fixed
P2-009,part2,送気・減圧管理,basic,潜水作業者の浮上速度は、減圧症予防のため、原則として「毎分10メートル以下」が推奨されている。,○,正解！古い基準では毎分18mでしたが、現在は毎分10m（または9m）程度ゆっくり浮上するのが安全基準の主流です。,既存公開問題,2026-05-19,approved,yes,existing_public_fixed
P2-010,part2,送気・減圧管理,basic,送気式潜水において、送気圧は「潜水深度の圧力」と同じであればよい。,×,不正解！「潜水深度の圧力」に加えて、「ホース内の圧力損失」や「調整器の作動圧」を加えた圧力が必要です。,既存公開問題,2026-05-19,approved,yes,existing_public_fixed
P2-011,part2,送気・減圧管理,basic,送気式潜水において、必要な送気量は、その深度の圧力下において毎分「60リットル」以上でなければならない。,○,正解！大気圧換算（コンプレッサー吸い込み量）ではなく、「その水深で圧縮された状態」で60L必要なので、深いほど大量の空気を送る必要があります。,既存公開問題,2026-05-19,approved,yes,existing_public_fixed
P2-012,part2,送気・減圧管理,basic,反復潜水（リぺティティブダイブ）とは、前回の潜水終了後、体内に窒素が残留している状態で行う2回目以降の潜水のことをいう。,○,正解！残留窒素があるため、1回目よりも減圧不要時間が短くなります。,既存公開問題,2026-05-19,approved,yes,existing_public_fixed
P2-013,part2,送気・減圧管理,basic,反復潜水において、前回の潜水からの水面休息時間が「10分未満」の場合は、使用する減圧表の規定により、継続した1回の潜水とみなすことが多い。,○,正解！休息時間が短すぎると窒素排出が不十分なため、潜り続けているものとして計算します。,既存公開問題,2026-05-19,approved,yes,existing_public_fixed
P2-014,part2,送気・減圧管理,basic,残留窒素時間（RNT）とは、体内に残っている窒素量を、その深度における潜水時間に換算したものである。,○,正解！2回目の潜水時間は、「実際の潜水時間 ＋ 残留窒素時間」で計算し、減圧表を読みます。,既存公開問題,2026-05-19,approved,yes,existing_public_fixed
P2-015,part2,送気・減圧管理,basic,潜水終了後、航空機に搭乗する場合は、減圧症発症のリスクを避けるため、一定時間の待機時間を設ける必要がある。,○,正解！上空は気圧が低いため、地上では問題ないレベルの残留窒素でも気泡化する恐れがあります。,既存公開問題,2026-05-19,approved,yes,existing_public_fixed
P2-016,part2,送気・減圧管理,basic,減圧表（ダイブテーブル）を使用する際、実際の潜水深度がテーブルにない場合は、それより「浅い」深度の数値を使用する。,×,危険です！必ず「深い」ほう（一つ上のランク）の深度の数値を使用し、安全側に計算します。,既存公開問題,2026-05-19,approved,yes,existing_public_fixed
P2-017,part2,送気・減圧管理,basic,減圧表を使用する際、実際の潜水時間がテーブルにない場合は、それより「長い」時間の数値を使用する。,○,正解！深度は「より深く」、時間は「より長く」見積もるのが安全の鉄則です。,既存公開問題,2026-05-19,approved,yes,existing_public_fixed
P2-018,part2,送気・減圧管理,basic,水深が深くなるほど、無減圧潜水可能時間（減圧停止なしで潜れる時間）は短くなる。,○,正解！圧力が高いほど窒素の吸収が早いため、限界時間は短くなります。,既存公開問題,2026-05-19,approved,yes,existing_public_fixed
P2-019,part2,送気・減圧管理,basic,潜降速度については、法令上、具体的な数値による制限（毎分◯メートル以下等）は定められていない。,○,正解！浮上速度には制限がありますが、潜降速度には数値規定はありません（耳抜きができる範囲で行います）。,既存公開問題,2026-05-19,approved,yes,existing_public_fixed
P2-020,part2,送気・減圧管理,basic,高気圧作業安全衛生規則において、潜水作業者に供給する空気中の炭酸ガス（二酸化炭素）の分圧は、「0.5kPa」以下でなければならない。,○,正解！法令（規則第26条）では濃度(%)ではなく「分圧」で規定されています。0.5kPaは約0.005気圧に相当します。,既存公開問題,2026-05-19,approved,yes,existing_public_fixed
